title,genres,original_language,popularity,production_companies,release_date,budget,revenue,runtime,status,vote_average,vote_count,credits
Beverly Hills Cop II,Action,en,161.037,Eddie Murphy Productions-Paramount Pictures-Don Simpson/Jerry Bruckheimer Films,1987-05-18,28000000.0,299965036.0,103.0,Released,6.493,2387.0,Eddie Murphy
The Hunger Games: Mockingjay - Part 1,Science Fiction,en,161.029,Lionsgate-Color Force,2014-11-19,125000000.0,755356711.0,123.0,Released,6.804,14974.0,Jennifer Lawrence
North by Northwest,Mystery,en,160.281,Metro-Goldwyn-Mayer,1959-07-08,4000000.0,13275000.0,136.0,Released,8.0,3929.0,Cary Grant
Piggy,Thriller,es,160.063,Morena Films-Backup Media-Cerdita AIE,2022-10-07,2400000.0,380512.0,100.0,Released,6.6,287.0,Laura Galán
Monkey Man,Action,en,158.879,Thunder Road-Bron Studios-Monkeypaw Productions-Minor Realm-Creative Wealth Media Finance-WME Independent-S'YA Concept,2024-04-03,10000000.0,12000000.0,121.0,Released,7.6,38.0,Dev Patel
Harry Potter and the Chamber of Secrets,Adventure,en,158.564,Warner Bros. Pictures-Heyday Films-1492 Pictures,2002-11-13,100000000.0,876688482.0,161.0,Released,7.72,21278.0,Daniel Radcliffe
The Help,Drama,en,157.675,1492 Pictures-Harbinger Pictures,2011-08-09,25000000.0,216639112.0,146.0,Released,8.2,7011.0,Emma Stone
Operation Fortune: Ruse de Guerre,Action,en,157.372,Miramax-STX Entertainment-Toff Guy Films-Tencent Pictures-AZ Celtic Films,2023-01-04,50000000.0,35800000.0,114.0,Released,6.876,238.0,Jason Statham
Barbie,Comedy,en,157.167,LuckyChap Entertainment-Heyday Films-NB/GG Pictures-Mattel-Warner Bros. Pictures,2023-07-19,145000000.0,1445638421.0,114.0,Released,7.032,8768.0,Margot Robbie
The Nun,Horror,en,156.28,New Line Cinema-Atomic Monster-The Safran Company,2018-09-05,22000000.0,365582797.0,96.0,Released,5.9,6204.0,Taissa Farmiga
Twister,Action,en,154.547,Warner Bros. Pictures-Universal Pictures-Amblin Entertainment,1996-05-10,92000000.0,494471524.0,113.0,Released,6.495,3137.0,Helen Hunt
Shrek 2,Animation,en,153.021,DreamWorks Pictures-Pacific Data Images-DreamWorks Animation,2004-05-19,150000000.0,928760770.0,93.0,Released,7.2,10783.0,Mike Myers
Shang-Chi and the Legend of the Ten Rings,Action,en,152.859,Marvel Studios,2021-09-01,150000000.0,432243292.0,132.0,Released,7.6,7803.0,Simu Liu
The Hunger Games: Catching Fire,Adventure,en,152.338,Lionsgate-Color Force,2013-11-15,130000000.0,865011746.0,146.0,Released,7.425,16445.0,Jennifer Lawrence
Dune,Science Fiction,en,151.007,Legendary Pictures,2021-09-15,165000000.0,407573628.0,155.0,Released,7.785,12118.0,Timothée Chalamet
Big Hero 6,Adventure,en,149.923,Walt Disney Pictures-Walt Disney Animation Studios,2014-10-24,165000000.0,657827828.0,102.0,Released,7.734,15274.0,Scott Adsit
The Battle at Lake Changjin: Water Gate Bridge,War,zh,149.286,Bona Film Group,2022-02-01,200000000.0,626203271.0,149.0,Released,7.0,37.0,Wu Jing
Robot Dreams,Animation,es,147.424,Arcadia Motion Pictures-LokizFilms-Noodles Production-Les films du Worso,2023-12-06,6000000.0,3800734.0,102.0,Released,8.1,375.0,Ivan Labanda
Uncharted,Action,en,147.231,Columbia Pictures-Atlas Entertainment-PlayStation Productions-Arad Productions-Studio Babelsberg-Deutscher Filmförderfonds-Medienboard Berlin-Brandenburg,2022-02-10,120000000.0,401748820.0,116.0,Released,7.043,4461.0,Tom Holland
The Conjuring: The Devil Made Me Do It,Horror,en,146.814,New Line Cinema-The Safran Company-Atomic Monster,2021-05-25,39000000.0,206431050.0,111.0,Released,7.5,4946.0,Patrick Wilson
Black Panther: Wakanda Forever,Action,en,145.933,Marvel Studios,2022-11-09,250000000.0,859102154.0,162.0,Released,7.119,6238.0,Letitia Wright
3-D Sex and Zen: Extreme Ecstasy,Drama,cn,145.371,Keyfilms Roma-Lucky Red-Tai Seng Entertainment-Film Workshop-Medusa Film-One Dollar Production Limited-Local Production,2011-04-14,3500000.0,10308238.0,105.0,Released,4.7,73.0,Saori Hara
Joker,Crime,en,145.268,Warner Bros. Pictures-Joint Effort-Village Roadshow Pictures-Bron Studios-DC Films,2019-10-01,55000000.0,1074500000.0,122.0,Released,8.163,24337.0,Joaquin Phoenix
A Good Day to Die Hard,Action,en,145.127,Mid Atlantic Films-Ingenious Media-Dune Entertainment-Big Screen Productions-Temple Hill Entertainment-TSG Entertainment-Giant Pictures-Origo Film Group-20th Century Fox,2013-02-06,92000000.0,304654182.0,98.0,Released,5.319,6030.0,Bruce Willis
Coco,Family,en,144.713,Pixar-Walt Disney Pictures,2017-10-27,175000000.0,800526015.0,105.0,Released,8.2,17074.0,Anthony Gonzalez
Back to the Future,Adventure,en,143.888,Universal Pictures-Amblin Entertainment,1985-07-03,19000000.0,381109762.0,116.0,Released,8.317,19561.0,Michael J. Fox
Jawan,Action,hi,143.524,Red Chillies Entertainment,2023-09-07,36150000.0,136698671.0,169.0,Released,7.4,152.0,Shah Rukh Khan
Beverly Hills Cop III,Action,en,143.032,Eddie Murphy Productions,1994-05-24,50000000.0,119208989.0,105.0,Released,5.866,1781.0,Eddie Murphy
The Northman,Action,en,142.497,New Regency Pictures-Focus Features-Perfect World Pictures-Square Peg,2022-04-07,70000000.0,69633110.0,137.0,Released,7.112,3197.0,Alexander Skarsgård
The Menu,Horror,en,141.43,Hyperobject Industries-Searchlight Pictures-Gary Sanchez Productions-TSG Entertainment,2022-11-17,35000000.0,79628200.0,107.0,Released,7.233,2569.0,Ralph Fiennes
Avengers: Age of Ultron,Action,en,141.429,Marvel Studios,2015-04-22,365000000.0,1405403694.0,141.0,Released,7.274,22597.0,Robert Downey Jr.
Past Lives,Drama,en,141.364,A24-Killer Films-2AM-CJ ENM,2023-06-02,12000000.0,15348213.0,106.0,Released,7.89,666.0,Greta Lee
Spider-Man: Into the Spider-Verse,Animation,en,139.932,Columbia Pictures-Lord Miller-Pascal Pictures-Sony Pictures Animation-Arad Productions-Marvel Entertainment,2018-12-06,90000000.0,384298736.0,117.0,Released,8.402,15270.0,Shameik Moore
Brothers,Drama,en,139.175,Lionsgate-Relativity Media-Sighvatsson Films-Michael De Luca Productions-Palomar Pictures,2009-01-22,26000000.0,43318349.0,105.0,Released,7.292,2866.0,Tobey Maguire
After,Romance,en,139.036,CalMaple Films-Wattpad-Offspring Entertainment-Diamond Film Productions-Voltage Pictures-Frayed Pages Entertainment,2019-04-11,14000000.0,69497587.0,106.0,Released,7.16,7505.0,Josephine Langford
A Haunted House,Comedy,en,137.953,Endgame Entertainment-Wayans Bros. Entertainment-IM Global-Open Road Films,2013-01-11,2500000.0,60141683.0,86.0,Released,5.783,1519.0,Marlon Wayans
Harry Potter and the Half-Blood Prince,Adventure,en,137.468,Warner Bros. Pictures-Heyday Films,2009-07-15,250000000.0,933959197.0,153.0,Released,7.694,18551.0,Daniel Radcliffe
Harry Potter and the Deathly Hallows: Part 2,Fantasy,en,137.402,Warner Bros. Pictures-Heyday Films,2011-07-12,125000000.0,1341511219.0,130.0,Released,8.098,19977.0,Daniel Radcliffe
The Emperor's New Groove,Adventure,en,135.909,Walt Disney Pictures-Walt Disney Feature Animation,2000-12-15,100000000.0,169327687.0,78.0,Released,7.5,5858.0,David Spade
Tenet,Action,en,135.822,Warner Bros. Pictures-Syncopy,2020-08-22,205000000.0,365304105.0,150.0,Released,7.18,9275.0,John David Washington
The Lord of the Rings: The Two Towers,Adventure,en,135.144,New Line Cinema-WingNut Films-The Saul Zaentz Company,2002-12-18,79000000.0,926287400.0,179.0,Released,8.398,21591.0,Elijah Wood
Dog,Drama,en,134.757,FilmNation Entertainment-Metro-Goldwyn-Mayer-Free Association,2022-02-17,20000000.0,77263354.0,102.0,Released,7.363,1191.0,Channing Tatum
Gone Girl,Mystery,en,134.069,20th Century Fox-Regency Enterprises,2014-10-01,61000000.0,370890259.0,149.0,Released,7.9,18279.0,Ben Affleck
Triangle of Sadness,Comedy,en,134.015,30WEST-ARTE-BBC Film-TRT-Turkish Radio & Television-Bord Cadre Films-Coproduction Office-Film i Väst-Heretic-Imperative Entertainment-Piano-Sovereign Films-Plattform Produktion-SVT-Svensk Filminspelning-Essential Films-ZDF-Svenska Filminstitutet-Eurimages-Medienboard Berlin-Brandenburg-The Danish Film Institute-Canal+-Ciné+-DR-Nordisk Film & TV Fond-BFI-MOIN Filmförderung Hamburg Schleswig-Holstein-SF Studios-Bac Films,2022-09-23,15600000.0,24733572.0,147.0,Released,7.275,1070.0,Harris Dickinson
"Monsters, Inc.",Animation,en,133.603,Pixar,2001-11-01,115000000.0,579700000.0,92.0,Released,7.84,17571.0,John Goodman
The Conjuring,Horror,en,132.794,Evergreen Media Group-New Line Cinema-The Safran Company,2013-07-18,13000000.0,320406242.0,112.0,Released,7.537,10199.0,Patrick Wilson
The Craft,Horror,en,132.611,Columbia Pictures-Red Wagon Entertainment,1996-05-03,15000000.0,24800000.0,101.0,Released,6.8,1783.0,Robin Tunney
"The Gangster, the Cop, the Devil",Crime,ko,132.484,Acemaker Movieworks-BA Entertainment-Kiwi Media Group-B&C CONTENT,2019-05-15,6500000.0,25775371.0,110.0,Released,7.8,900.0,Ma Dong
Luca,Animation,en,132.456,Pixar-Walt Disney Pictures,2021-06-17,200000000.0,49750471.0,95.0,Released,7.9,7127.0,Jacob Tremblay
Indiana Jones and the Dial of Destiny,Adventure,en,132.307,Lucasfilm Ltd.,2023-06-25,294700000.0,383900000.0,155.0,Released,6.6,3195.0,Harrison Ford
The Lion King,Adventure,en,131.16,Walt Disney Pictures-Fairview Entertainment,2019-07-12,260000000.0,1663075401.0,118.0,Released,7.131,9015.0,Chiwetel Ejiofor
Despicable Me,Family,en,130.38,Illumination-Universal Pictures,2010-07-08,69000000.0,543284256.0,95.0,Released,7.244,14923.0,Steve Carell
Fast & Furious Presents: Hobbs & Shaw,Action,en,130.097,Universal Pictures-Chris Morgan Productions-Seven Bucks Productions,2019-08-01,200000000.0,760098996.0,137.0,Released,6.865,6149.0,Dwayne Johnson
The Godfather,Drama,en,129.103,Paramount Pictures-Alfran Productions-American Zoetrope,1972-03-14,6000000.0,245066411.0,175.0,Released,8.692,20083.0,Marlon Brando
Puss in Boots,Action,en,129.022,DreamWorks Animation,2011-10-27,130000000.0,554987477.0,90.0,Released,6.521,3204.0,Antonio Banderas
The Nightmare Before Christmas,Fantasy,en,128.943,Touchstone Pictures-Skellington Productions,1993-10-09,24000000.0,75634409.0,76.0,Released,7.841,8823.0,Danny Elfman
Fury,War,en,127.696,Columbia Pictures-QED International-LStar Capital-Le Grisbi Productions-Crave Films,2014-10-15,68000000.0,211817906.0,135.0,Released,7.529,11626.0,Brad Pitt
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,en,127.575,Walt Disney Pictures-Jerry Bruckheimer Films,2003-07-09,140000000.0,655011224.0,143.0,Released,7.789,18945.0,Johnny Depp
The Suicide Squad,Action,en,127.375,DC Films-Atlas Entertainment-The Safran Company-Warner Bros. Pictures,2021-07-28,185000000.0,168717425.0,132.0,Released,7.5,8166.0,Margot Robbie
After We Fell,Romance,en,126.887,Voltage Pictures-Wattpad-Vertical Entertainment-Ethea Entertainment-CalMaple Films,2021-09-01,14000000.0,21500000.0,99.0,Released,7.13,2116.0,Josephine Langford
Wrath of Man,Action,en,126.553,Miramax-Metro-Goldwyn-Mayer-Lionsgate-Toff Guy Films-CAA Media Finance-Flic Films UK,2021-04-22,40000000.0,103966489.0,119.0,Released,7.682,4197.0,Jason Statham
The Dark Knight,Drama,en,126.226,DC Comics-Legendary Pictures-Syncopy-Isobel Griffiths-Warner Bros. Pictures,2008-07-16,185000000.0,1004558444.0,152.0,Released,8.513,31145.0,Christian Bale
Scary Movie,Comedy,en,125.966,Brad Grey Pictures-Gold/Miller Productions-Wayans Bros. Entertainment-Dimension Films,2000-07-07,19000000.0,278019771.0,88.0,Released,6.346,6422.0,Anna Faris
xXx: Return of Xander Cage,Action,en,125.625,Rox Productions-Revolution Studios-Maple Cage Productions-Huahua Media-Roth-Kirschenbaum Films-Shanghai Film Group-One Race-Paramount,2017-01-13,85000000.0,346147658.0,107.0,Released,6.139,8586.0,Vin Diesel
Doctor Strange in the Multiverse of Madness,Fantasy,en,125.594,Marvel Studios-Kevin Feige Productions,2022-05-04,200000000.0,955775804.0,126.0,Released,7.299,8761.0,Benedict Cumberbatch
Fighter,Action,hi,124.732,Marflix Pictures-Viacom18 Studios-Prime Focus,2024-01-24,30069500.0,43160558.0,167.0,Released,5.6,93.0,Hrithik Roshan
The Accountant,Crime,en,124.074,Zero Gravity Management-Electric City Entertainment-RatPac Entertainment-Warner Bros. Pictures,2016-10-13,44000000.0,155160045.0,128.0,Released,7.069,5910.0,Ben Affleck
Shrek Forever After,Comedy,en,123.12,DreamWorks Animation,2010-05-16,165000000.0,752600000.0,93.0,Released,6.355,6850.0,Mike Myers
The Unbearable Weight of Massive Talent,Action,en,122.606,Saturn Films-Burr! Productions,2022-04-20,30000000.0,29116320.0,107.0,Released,6.777,1061.0,Nicolas Cage
X,Horror,en,122.264,A24-Little Lamb Productions,2022-03-17,10000000.0,14779858.0,106.0,Released,6.778,1758.0,Mia Goth
The Matrix Resurrections,Science Fiction,en,122.226,Warner Bros. Pictures-Village Roadshow Pictures-Venus Castina Productions,2021-12-16,190000000.0,156497322.0,147.0,Released,6.5,4572.0,Keanu Reeves
Frozen,Animation,en,121.769,Walt Disney Pictures-Walt Disney Animation Studios,2013-11-20,150000000.0,1274219009.0,102.0,Released,7.248,16174.0,Kristen Bell
Cuckoo,Horror,en,121.47,NEON-100 Zeros-Waypoint Entertainment-Fiction Park,2024-08-02,7000000.0,6470705.0,103.0,Released,5.5,52.0,Hunter Schafer
The Hangover,Comedy,en,121.193,Legendary Pictures-Green Hat Films-Warner Bros. Pictures,2009-06-02,35000000.0,469310836.0,100.0,Released,7.314,16005.0,Bradley Cooper
The Amazing Spider-Man 2,Action,en,121.075,Marvel Entertainment-Columbia Pictures-Matt Tolmach Productions-Avi Arad Productions,2014-04-16,200000000.0,708962323.0,141.0,Released,6.488,11804.0,Andrew Garfield
Ant-Man,Science Fiction,en,120.506,Marvel Studios,2015-07-14,130000000.0,519311965.0,117.0,Released,7.083,18261.0,Paul Rudd
The Ministry of Ungentlemanly Warfare,Action,en,120.185,Jerry Bruckheimer Films-Black Bear Pictures-Toff Guy Films,2024-04-18,60000000.0,25885290.0,120.0,Released,7.286,385.0,Henry Cavill
Zootopia,Animation,en,120.11,Walt Disney Animation Studios-Walt Disney Pictures,2016-02-11,150000000.0,1023784195.0,109.0,Released,7.747,15882.0,Jason Bateman
Arthur the King,Adventure,en,119.527,Entertainment One-Tucker Tooley Entertainment-Municipal Pictures-Lionsgate-Atmosphere Entertainment MM,2024-03-15,19000000.0,34339848.0,107.0,Released,7.953,415.0,Mark Wahlberg
The Bad Guys,Animation,en,118.852,DreamWorks Animation-Universal Pictures,2022-03-17,80000000.0,250162278.0,100.0,Released,7.7,1407.0,Sam Rockwell
Cinderella,Family,en,118.788,Walt Disney Productions,1950-02-22,2900000.0,263600000.0,74.0,Released,7.044,6523.0,Ilene Woods
Ghostbusters: Afterlife,Fantasy,en,117.942,Columbia Pictures-Bron Studios-The Montecito Picture Company-Ghost Corps,2021-11-18,75000000.0,204334455.0,124.0,Released,7.389,4493.0,Mckenna Grace
Spider-Man: Homecoming,Action,en,117.558,Marvel Studios-Pascal Pictures-LStar Capital,2017-07-05,175000000.0,880166924.0,133.0,Released,7.345,20181.0,Tom Holland
Beau Is Afraid,Comedy,en,117.493,A24-Square Peg-IPR.VC-Access Entertainment,2023-04-14,35000000.0,10000000.0,179.0,Released,7.0,369.0,Joaquin Phoenix
Harry Potter and the Deathly Hallows: Part 1,Adventure,en,117.479,Warner Bros. Pictures-Heyday Films,2010-11-17,250000000.0,954305868.0,146.0,Released,7.754,18658.0,Daniel Radcliffe
Warrior,Drama,en,117.473,Lionsgate-Mimran Schur Pictures-Solaris Film-Filmtribe,2011-09-09,25000000.0,23308615.0,140.0,Released,7.84,3991.0,Joel Edgerton
Top Gun,Action,en,117.253,Paramount-Don Simpson/Jerry Bruckheimer Films,1986-05-16,15000000.0,356830601.0,110.0,Released,7.027,7143.0,Tom Cruise
Pirates of the Caribbean: On Stranger Tides,Adventure,en,117.087,Walt Disney Pictures-Jerry Bruckheimer Films-Moving Picture Company,2011-05-15,379000000.0,1045713802.0,137.0,Released,6.5,13190.0,Johnny Depp
How to Train Your Dragon 2,Fantasy,en,117.032,DreamWorks Animation,2014-06-05,145000000.0,621537519.0,102.0,Released,7.675,9378.0,Jay Baruchel
The Hobbit: The Battle of the Five Armies,Action,en,116.391,Warner Bros. Pictures-New Line Cinema-Metro-Goldwyn-Mayer-WingNut Films-The Saul Zaentz Company,2014-12-10,250000000.0,956019788.0,144.0,Released,7.32,13924.0,Ian McKellen
Iron Man,Action,en,116.068,Marvel Studios,2008-04-30,140000000.0,585174222.0,126.0,Released,7.6,24538.0,Robert Downey Jr.
Pulp Fiction,Thriller,en,115.888,Miramax-A Band Apart-Jersey Films,1994-09-10,8500000.0,213928762.0,154.0,Released,8.488,27361.0,John Travolta
The Color Purple,Music,en,115.761,Warner Bros. Pictures-Harpo Films-Amblin Entertainment-Scott Sanders Productions-Quincy Jones Productions-Domain Entertainment,2023-12-25,95000000.0,64088617.0,141.0,Released,6.896,101.0,Fantasia Barrino
Prisoners,Drama,en,115.491,Alcon Entertainment-8:38 Productions-Madhouse Entertainment,2013-09-19,46000000.0,122126687.0,153.0,Released,8.098,11479.0,Hugh Jackman
Babylon,Drama,en,115.361,Paramount-Marc Platt Productions-Material Pictures-C2 Motion Picture Group-Wild Chickens-Organism Pictures,2022-12-22,78000000.0,63363579.0,189.0,Released,7.412,2718.0,Brad Pitt
The Wolf of Wall Street,Crime,en,114.327,EMJAG Productions-Red Granite Pictures-Appian Way-Sikelia Productions,2013-12-25,100000000.0,392000000.0,180.0,Released,8.036,21911.0,Leonardo DiCaprio
Love Again,Romance,en,114.107,Screen Gems-Thunder Road-2.0 Entertainment,2023-05-04,9000000.0,10000000.0,104.0,Released,6.392,37.0,Priyanka Chopra Jonas
May December,Drama,en,113.793,Gloria Sanchez Productions-Killer Films-MountainA-Taylor & Dodge-Project Infinity,2023-11-16,20000000.0,223505.0,117.0,Released,6.889,27.0,Natalie Portman
The Lion King,Family,en,113.759,Walt Disney Pictures-Walt Disney Feature Animation,1994-06-24,45000000.0,763455561.0,89.0,Released,8.256,17204.0,Matthew Broderick
Thor: The Dark World,Action,en,113.743,Marvel Studios,2013-10-30,170000000.0,644571402.0,112.0,Released,6.552,15786.0,Chris Hemsworth
Eternals,Science Fiction,en,113.697,Marvel Studios,2021-11-03,200000000.0,402064899.0,156.0,Released,6.914,7615.0,Gemma Chan
Air,Drama,en,113.412,Amazon Studios-Skydance Sports-Mandalay Pictures-Artists Equity,2023-04-05,90000000.0,87078875.0,112.0,Released,7.418,1006.0,Matt Damon
Kalki 2898-AD,Drama,te,113.27,Vyjayanthi Movies,2024-06-26,75000000.0,120000000.0,181.0,Released,6.705,39.0,Amitabh Bachchan
Everything Everywhere All at Once,Action,en,113.096,IAC Films-AGBO-Ley Line Entertainment-Year of the Rat,2022-03-24,25000000.0,139200000.0,140.0,Released,7.8,6249.0,Michelle Yeoh
Mean Girls,Comedy,en,113.044,Broadway Video-Paramount-M.G. Films,2004-04-30,17000000.0,130100000.0,97.0,Released,7.195,8144.0,Lindsay Lohan
Finding Nemo,Animation,en,113.036,Pixar,2003-05-30,94000000.0,940335536.0,100.0,Released,7.825,18257.0,Albert Brooks
Toy Story,Animation,en,111.892,Pixar,1995-10-30,30000000.0,373554033.0,81.0,Released,7.966,16430.0,Tom Hanks
Godzilla vs. Kong,Action,en,111.879,Legendary Pictures,2021-03-24,200000000.0,470116094.0,114.0,Released,7.611,9796.0,Alexander Skarsgård
Real Steel,Action,en,111.402,Touchstone Pictures-ImageMovers-Angry Films-Kontsept Film Company-Revolution Sun Studios-DreamWorks Pictures-Reliance Entertainment-21 Laps Entertainment,2011-09-28,110000000.0,299268508.0,127.0,Released,6.955,7156.0,Hugh Jackman
Dragon Ball Z: Resurrection 'F',Action,ja,111.384,20th Century Fox-Toei Animation-Toei Company-Fox International Productions-20th Century Fox Animation-Fizz Sound Creation,2015-04-18,5000000.0,61768190.0,93.0,Released,6.8,1596.0,Masako Nozawa
Ratatouille,Animation,en,111.323,Pixar-Walt Disney Pictures,2007-06-28,150000000.0,623726000.0,111.0,Released,7.814,16116.0,Patton Oswalt
The Fate of the Furious,Action,en,111.317,Original Film-One Race-Universal Pictures,2017-04-12,250000000.0,1236005118.0,136.0,Released,6.892,9541.0,Vin Diesel
